# High E guitar string sampling at  4096 samples/sec
# time[s], waveform1, waveform2, waveform3, waveform4
2.5146e-02 -1.3400e+02 -7.9000e+01 3.8600e+02 1.2000e+02
2.5391e-02 3.2000e+01 -4.7000e+01 -2.1000e+01 1.1900e+02
2.5635e-02 -8.5000e+01 -3.5000e+02 1.5800e+02 -2.3000e+01
2.5879e-02 2.0300e+02 -4.8100e+02 1.5300e+02 -2.2500e+02
2.6123e-02 4.9300e+02 -2.6300e+02 -3.2200e+02 -1.5800e+02
2.6367e-02 5.1600e+02 3.1400e+02 -1.1300e+02 -1.7200e+02
2.6611e-02 3.2900e+02 5.2600e+02 2.2100e+02 -1.3800e+02
2.6855e-02 4.0000e+01 4.5300e+02 -8.0000e+01 1.6500e+02
2.7100e-02 9.9000e+01 2.4700e+02 -4.5600e+02 1.8100e+02
2.7344e-02 -4.2000e+01 6.8000e+01 4.4000e+01 1.8000e+01
2.7588e-02 -4.7400e+02 -8.3000e+01 4.4800e+02 1.5400e+02
2.7832e-02 -5.4000e+02 -2.4100e+02 -1.8200e+02 4.6000e+01
2.8076e-02 -4.5100e+02 -1.8400e+02 1.1900e+02 -4.5000e+01
2.8320e-02 -6.1000e+01 -7.6000e+01 3.3100e+02 1.3800e+02
2.8564e-02 -1.5000e+01 -9.5000e+01 -6.1000e+01 6.1000e+01
2.8809e-02 -8.3000e+01 -4.0500e+02 2.0800e+02 -8.9000e+01
2.9053e-02 2.7900e+02 -4.5000e+02 2.2000e+01 -2.3900e+02
2.9297e-02 4.9500e+02 -1.4800e+02 -3.7700e+02 -1.4100e+02
2.9541e-02 4.7000e+02 4.0900e+02 -2.3000e+01 -1.8200e+02
2.9785e-02 2.2700e+02 5.2700e+02 1.7700e+02 -7.0000e+01
3.0029e-02 7.0000e+00 4.3700e+02 -2.3900e+02 2.2600e+02
3.0273e-02 9.7000e+01 2.2100e+02 -4.6500e+02 1.3900e+02
3.0518e-02 -1.5200e+02 6.8000e+01 1.8600e+02 5.4000e+01
3.0762e-02 -5.3100e+02 -9.9000e+01 3.0600e+02 1.6700e+02
3.1006e-02 -5.2800e+02 -2.2400e+02 -2.7000e+02 1.4000e+01
3.1250e-02 -3.6200e+02 -1.4700e+02 2.2900e+02 -1.8000e+01
3.1494e-02 2.2000e+01 -4.5000e+01 2.0800e+02 1.4800e+02
3.1738e-02 -2.5000e+01 -1.4300e+02 -6.6000e+01 2.2000e+01
3.1982e-02 -2.0000e+00 -4.3300e+02 2.1800e+02 -1.4000e+02
3.2227e-02 3.9300e+02 -4.0300e+02 -1.4000e+02 -2.2800e+02
3.2471e-02 5.2200e+02 -1.8000e+01 -3.8500e+02 -1.3200e+02
3.2715e-02 4.4900e+02 4.7700e+02 6.5000e+01 -1.8200e+02
3.2959e-02 1.6900e+02 5.0800e+02 1.1300e+02 -8.0000e+00
3.3203e-02 2.3000e+01 3.9400e+02 -3.4600e+02 2.4000e+02
3.3447e-02 1.0200e+02 1.6700e+02 -3.6000e+02 7.0000e+01
3.3691e-02 -2.5700e+02 1.5000e+01 3.4500e+02 6.9000e+01
3.3936e-02 -5.4400e+02 -1.7100e+02 1.7100e+02 1.2600e+02
3.4180e-02 -4.9700e+02 -2.3900e+02 -2.2700e+02 -4.3000e+01
3.4424e-02 -2.6200e+02 -1.4300e+02 3.5500e+02 1.1000e+01
